"",gene_symbol,GSM1820115,GSM1820116,GSM1820117,GSM1820118,GSM1820119,GSM1820120,GSM1820121,GSM1820122,GSM1820123,GSM1820124,GSM1820125,GSM1820126,GSM1820127,GSM1820128,GSM1820129
ENSG00000275469,MIR6130,25.9998,15.8384,4.8817,4.3988,4.673,1.0441,0.9596,9.3197,12.6263,1.9182,3.0332,9.1532,5.6553,9.8505,0.7177
ENSG00000275470,LENG8-AS1,346.6759,264.3833,202.8236,0,0,0,35.2275,0,0,0,222.7671,195.4108,42.1786,152.4586,66.7352
ENSG00000275474,RDH13,9.983,11.3662,3.5597,4.4055,4.3635,0.9503,2.009,0,18.8643,7.2882,0,5.5818,0,5.6009,18.4172
ENSG00000275482,EPHB6,2703.4187,1253.0033,1225.4489,1500.7619,2245.91,579.7115,627.0259,2410.2508,2437.8159,943.9478,319.8829,1808.3027,2639.6185,1543.2849,761.758
ENSG00000275483,NLRP7,0,0,0,0,0,0,0.0123,0,0,0,0,0,0,0,0
ENSG00000275486,KIR3DL1,0.134,0,0,0,4.8348,4.1196,0,0,0,0,0,0,0,0.8773,0
ENSG00000275489,C17orf98,12.1343,5.7943,3.4983,2.5469,6.6056,3.0838,1.4993,1.0004,13.5718,5.5191,1.028,1.5423,1.1231,1.0167,1.4992
ENSG00000275491,LINC01730,82.557,18.4432,33.1512,13.6027,47.7835,8.2853,35.0095,21.4362,91.269,115.2171,12.9483,13.4636,31.5296,83.6227,21.3283
ENSG00000275496,LOC102724701,0,2.2145,9.4044,2.2245,5.8716,30.8207,31.3402,0.2601,0.2461,2.7825,8.2848,0.0225,0.2766,0,0.6311
ENSG00000275498,PDXDC1,2430.8712,1309.1081,1027.5893,531.6333,372.8035,771.7871,3277.9069,4007.265,2012.7105,4093.4379,547.9937,1642.4103,2581.827,2029.2327,817.9989
ENSG00000275499,ZNF280A,43.8907,26.1942,14.3417,10.0544,28.1704,2.8261,10.4969,12.5324,37.6604,21.2343,11.2414,13.0961,13.6442,14.7704,10.7034
ENSG00000275501,MUC20,24.5207,17.1184,84.8514,42.9344,3.5823,1.0245,14.4551,7.4906,42.8508,30.0428,2.6064,27.3451,2.143,89.6869,17.2255
ENSG00000275511,KIR3DL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275513,KIR3DL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275517,PRB1,16.2857,0,9.8837,13.0195,2.7577,0,0,0,8.1036,5.8039,5.9303,5.5761,0,1.1733,3.2948
ENSG00000275518,MIR6718,0,0,0,0,1.0075,0,0,0,0,1.983,0,1.0075,0,0,0.9915
ENSG00000275519,MIR6804,11.4218,2.9753,4.9589,2.8478,5.0363,2.0144,1.9835,2.0146,1.9835,0.5232,0,4.836,1.0073,4.0292,0.9917
ENSG00000275520,FAM236A,0,2e-04,6.2053,0,39.0846,0,0,0,0,0,3.0699,0,0,31.3199,0
ENSG00000275521,NCR1,1.2668,0.9441,0.6535,0.0653,0.5811,0,0,0,1.3847,0,1.5134,0,2.1919,0,0
ENSG00000275522,KIR2DL1,0,2.8751,0,0,0,0,0,0,0,0,0,0,0,0,4.2118
ENSG00000275523,MIR6508,1.9224,0,0,0,0,0,0,0,1.9845,0,0,0,0,0,4.5836
ENSG00000275524,SNORD115-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275525,LILRA1,27.9285,16.5889,11.7635,17.154,33.4653,28.4296,49.8002,59.4899,27.8991,51.625,14.4681,18.5877,34.744,66.3398,14.1551
ENSG00000275528,CCL15,61.2907,26.3123,1.458,3.0719,5.1319,0,2.5656,1e-04,2.0885,0.8935,0.001,0.6535,0,0.725,3.4191
ENSG00000275529,SNORD116-4,12.307,0,0.0611,0.4181,17.2282,1.7401,2.7529,7.5704,11.6253,0,5.1956,2.7548,5.1312,6.9011,5.7159
ENSG00000275538,RNVU1-19,60.2146,3.2665,10.1468,39.5077,34.5311,1.0418,0,0,2.0669,2.1797,0,1.0085,7.1664,4.9544,1.2985
ENSG00000275539,LILRA6,0,0,0,3.4135,0,7.1462,0,0,0,2.7674,0,0,0,0,0
ENSG00000275543,MPV17L,73.2709,49.8191,28.4386,0,125.4193,0,0,0,82.1422,22.6271,313.312,0,0,0,68.1022
ENSG00000275544,BDH1,1195.2196,634.083,493.135,472.9015,695.2634,306.2861,327.8719,226.1354,1253.9286,438.0242,342.843,672.371,223.2671,617.4796,299.4262
ENSG00000275545,KIR3DL1,0,0,0,0,0,0,0,22.0029,1e-04,0,0,4.2318,0,0,0
